PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
"Senzatela(L, 3-4)",5.0,8,4,4,2,6,0,4.66
Chacín,1.0,0,0,0,0,0,0,6.23
Estévez,1.0,2,2,2,1,1,0,5.32
Bird,1.0,0,0,0,1,0,0,0.00
,8.0,10,6,6,4,7,0,
