BATTERS - COL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
JoeLF,2,0,0,0,2,0,0,.274,.765
BlackmonDH,3,0,0,0,1,1,2,.259,.761
Rodgers2B,4,0,0,0,0,1,4,.251,.709
Cron1B,4,0,1,0,0,0,2,.292,.883
McMahon3B,3,0,0,0,1,2,0,.241,.718
IglesiasSS,4,0,0,0,0,2,2,.299,.717
GrichukRF,3,0,0,0,0,2,2,.249,.668
"Díaz, EC",3,0,0,0,0,1,2,.216,.611
HampsonCF,2,0,0,0,1,1,0,.222,.685
,28,0,1,0,5,10,14,,
