PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
Pallante,4.0,4,1,1,4,2,0,1.23
VerHagen,1.1,4,2,2,0,2,0,4.02
"Helsley(BS, 2)",2.2,2,0,0,0,2,0,0.42
"Gallegos(W, 1-2)",2.0,2,1,0,1,5,0,3.48
,10.0,12,4,3,5,11,0,
