PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Kilian,5.0,3,3,3,2,6,0,5.40
Givens,1.2,2,0,0,3,2,0,3.22
Robertson,2.1,3,0,0,0,4,0,1.66
"Rucker(L, 0-1)",0.0,3,4,3,1,0,0,5.40
Norris,1.0,0,0,0,0,1,0,5.21
,10.0,11,7,6,6,13,0,
