BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Morel2B-SS,4,1,2,1,1,0,0,.297,.877
ContrerasDH,5,0,2,1,0,3,2,.275,.915
HappLF,4,0,2,0,1,0,2,.272,.828
Schwindel1B,4,0,0,0,1,0,5,.244,.713
Wisdom3B,4,1,0,0,1,2,4,.220,.769
OrtegaCF,5,1,2,0,0,1,2,.268,.745
HigginsC,5,1,2,0,0,2,2,.303,.923
HeywardRF,4,0,2,2,1,0,1,.212,.558
SimmonsSS,2,0,0,0,0,1,3,.178,.374
a-MadrigalPH-2B,3,0,0,0,0,2,4,.223,.525
,40,4,12,4,5,11,25,,
