PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Strider(L, 0-1)",2.1,3,5,5,2,4,1,19.29
"Lee, D",0.2,2,1,1,0,0,1,5.40
Odorizzi,3.0,1,2,2,3,2,0,6.00
Chavez,2.0,2,1,1,0,1,0,5.40
,8.0,8,9,9,5,7,2,
