BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerDH,3,0,0,0,1,0,2,.262,.806
BichetteSS,4,0,2,1,0,0,0,.285,.799
Guerrero1B,3,0,0,1,0,1,2,.275,.813
"Hernández, TRF",4,0,0,0,0,1,2,.257,.777
"Chapman, M3B",4,0,0,0,0,2,0,.231,.765
"Tapia, RLF",4,0,0,0,0,3,0,.260,.659
"Jansen, DC",3,1,1,1,1,0,0,.254,.841
Merrifield2B,2,1,1,0,1,0,0,.239,.649
Bradley Jr.CF,1,1,0,0,1,0,0,.204,.569
a-KirkPH,1,0,0,0,0,0,2,.291,.801
ZimmerCF,0,0,0,0,0,0,0,.128,.464
,29,3,4,3,4,7,8,,
