BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KimSS,2,0,0,0,1,0,3,.235,.680
AbramsSS,1,0,0,0,0,1,0,.212,.542
Cronenworth2B,4,0,0,0,0,1,1,.237,.707
"Machado, M3B",4,0,0,0,0,3,1,.311,.920
Voit1B,3,0,0,0,1,1,1,.228,.736
AlfaroDH,4,1,1,0,0,2,1,.269,.746
"Nola, AuC",3,0,1,0,0,1,0,.232,.604
RookerLF,3,0,0,0,0,2,2,.000,.000
GrishamCF,3,0,1,0,0,1,0,.194,.624
AzocarRF,3,0,0,1,0,0,2,.240,.629
,30,1,3,1,2,12,11,,
