BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,4,0,1,0,0,2,0,.176,.439
Olson1B,3,1,0,0,1,1,3,.281,.836
Riley3B,4,1,2,1,0,0,1,.284,.978
OzunaDH,4,1,0,0,0,1,2,.245,.706
Albies2B,4,2,2,0,0,1,0,.217,.759
d'ArnaudC,4,0,3,3,0,0,0,.333,.862
DuvallCF,3,0,0,1,0,2,2,.181,.516
DemeritteLF,3,0,0,0,0,1,0,.333,1.030
HerediaLF,1,0,0,0,0,1,0,.125,.514
SwansonSS,3,0,0,0,1,2,0,.225,.663
,33,5,8,5,2,11,8,,
