PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
Manaea,7.0,6,3,3,2,12,1,3.77
"Wilson, S(L, 3-1)(BS, 2)",0.2,3,3,3,0,0,1,4.20
Crismatt,0.1,0,0,0,0,1,0,1.59
,8.0,9,6,6,2,13,2,
