BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,4,0,2,0,1,0,1,.215,.804
Hoskins1B,5,0,1,0,0,3,3,.251,.810
Bohm3B,5,0,0,0,0,2,4,.291,.729
HarperDH,2,0,1,0,2,0,2,.320,.975
RealmutoC,4,0,1,0,0,1,5,.271,.795
StottSS,4,3,3,1,0,0,1,.231,.656
Segura2B,4,1,3,2,0,0,0,.288,.760
MarshCF,3,0,0,0,0,3,2,.231,.641
a-SandsPH,1,0,0,0,0,0,2,.000,.000
"Maton, NRF",0,0,0,0,0,0,0,.314,1.019
VierlingRF-CF,4,0,1,1,0,1,2,.234,.625
,36,4,12,4,3,10,22,,
