PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
Syndergaard,4.1,7,4,3,1,3,0,4.07
Brogdon,0.2,2,0,0,0,1,0,2.76
"Hand(L, 3-2)",1.0,1,1,1,3,2,0,2.21
Bellatti,1.0,1,0,0,0,2,0,3.63
Alvarado,1.0,0,0,0,1,2,0,4.05
,8.0,11,5,4,5,10,0,
