PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Lynn(L, 7-7)",5.0,10,4,4,1,3,1,4.16
Bummer,1.0,0,0,0,0,0,0,2.55
Velasquez,2.0,0,0,0,0,5,0,4.94
,8.0,10,4,4,1,8,1,
