Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2021,-1,,-1,0,-1,-2,0,0,1,1,92,89,-3
2022,0,,0,0,0,0,0,0,0,0,87,100,13
