Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2019,LAA,AL,406,130,151,1,3,.300,28,6,52,1669,4.111,.229,.017,.430,.126,6,0
2020,LAA,AL,106,18,50,2,0,.206,2,2,9,438,4.132,.245,.009,.538,.044,1,0
2021,LAA,AL,190,54,89,3,2,.220,7,3,28,741,3.900,.200,.032,.237,.109,1,0
2022,LAA,AL,511,210,211,1,0,.285,43,11,68,1818,3.558,.155,.033,.215,.166,1,0
4 Seasons,LAA,AL,1213,412,501,7,5,.274,80,22,157,4666,3.847,.195,.026,.339,.134,9,0
