 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2019,,506,17.6,27.7%,2.2%,313,24.0,0.6%,13.7%
2020,,151,17.4,23.8%,3.3%,66,23.6,3.0%,10.6%
2021,,206,17.9,20.9%,1.5%,124,23.4,0.0%,20.2%
2022,,473,18.0,19.9%,1.9%,247,24.0,0.4%,18.2%
