PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Crawford, K",6.0,6,3,3,0,6,0,4.50
"Schreiber(L, 2-1)(BS, 1)",1.0,3,2,2,0,1,0,1.16
"Hernandez, D",1.0,0,0,0,0,2,0,0.00
,8.0,9,5,5,0,9,0,
