PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Flexen(W, 6-8)",6.0,6,1,1,2,1,0,3.84
Borucki,0.2,0,0,0,1,0,0,5.09
"Muñoz, A",1.1,1,0,0,0,1,0,3.09
Murfee,0.2,3,3,3,0,1,1,2.80
"Sewald(S, 11)",0.1,0,0,0,0,0,0,2.41
,9.0,10,4,4,3,3,1,
