BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,3,0,0,0,0,0,0,.235,.713
a-DruryPH,1,0,0,0,0,0,2,.262,.821
GrishamCF,0,0,0,0,0,0,0,.189,.648
"Soto, JRF",3,0,1,0,1,2,0,.242,.858
"Machado, M3B",3,0,0,0,1,3,2,.296,.892
Cronenworth2B,3,0,0,0,1,2,2,.239,.723
BellDH,4,0,0,0,0,0,3,.272,.796
KimSS,3,1,1,0,0,0,0,.250,.703
Myers1B,3,0,1,0,0,0,2,.254,.668
"Nola, AuC",2,0,1,1,1,0,1,.246,.641
AzocarCF-LF,3,0,1,0,0,0,3,.280,.690
,28,1,5,1,4,7,15,,
