PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Mikolas(L, 11-13)",6.0,3,1,0,2,6,0,3.35
Woodford,0.2,2,0,0,0,0,0,2.49
"Romero, J",1.1,0,0,0,2,1,0,4.50
,8.0,5,1,0,4,7,0,
