BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Arraez2B,4,0,0,0,0,0,1,.296,.789
CorreaSS,4,0,0,0,0,2,0,.133,.512
PolancoDH,3,0,0,0,1,2,0,.200,.700
KeplerRF-CF,4,1,1,0,0,1,1,.167,.586
Urshela3B,4,0,2,0,0,1,0,.227,.656
LarnachLF,3,0,0,1,0,1,1,.333,.857
SanchezC,3,0,1,0,0,1,1,.240,.696
Sanó1B,1,0,0,0,2,0,1,.077,.486
GordonCF,1,0,0,0,0,0,1,.182,.539
a-GarlickPH-RF,2,0,0,0,0,2,3,.000,.000
,29,1,4,1,3,10,9,,
