BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Hernández, KCF",5,1,1,0,0,1,2,.184,.674
Devers3B,4,2,2,0,0,0,0,.368,.990
BogaertsSS,4,2,3,1,0,0,0,.290,.785
"Araúz, JSS",0,0,0,0,0,0,0,.000,.000
MartinezDH,3,1,1,2,0,1,2,.250,.811
VerdugoLF,3,0,1,1,0,0,4,.300,.994
Story2B,4,1,1,2,0,0,1,.250,.572
Dalbec1B,4,1,1,0,0,1,0,.167,.542
Bradley Jr.RF,2,0,1,1,2,0,0,.217,.656
PlaweckiC,3,0,0,1,0,2,2,.100,.267
,32,8,11,8,2,5,11,,
