PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
"Keller, M",7.0,2,0,0,3,6,0,4.01
"Underwood Jr.(H, 10)",1.0,1,0,0,0,0,0,4.50
"De Jong(L, 4-2)(BS, 2)",1.0,4,4,4,0,1,2,2.39
,9.0,7,4,4,3,7,2,
