BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Donovan3B,4,0,0,0,0,0,1,.287,.772
EdmanSS,4,1,2,0,0,2,0,.268,.741
DickersonLF,4,1,1,1,0,1,1,.297,.774
DeLuzioCF,0,0,0,0,0,0,0,.333,.833
Pujols1B,4,1,1,2,0,1,0,.266,.866
NootbaarRF,2,0,1,0,2,0,0,.223,.771
O'NeillCF-LF,4,1,1,1,0,1,2,.228,.700
Gorman2B,3,0,0,0,1,2,1,.230,.729
MolinaC,4,0,0,0,0,0,2,.222,.554
BurlesonDH,3,0,1,0,0,0,0,.111,.311
,32,4,7,4,3,7,7,,
