Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2017,L,23,6,26.1,.351,.146
2017,R,8,0,0.0,.154,
2018,L,79,30,38.0,.237,.178
2018,R,28,1,3.6,.240,.690
2019,L,259,150,57.9,.341,.294
2019,R,146,10,6.8,.332,.365
2020,L,130,100,76.9,.403,.382
2020,R,31,3,9.7,.286,.233
2021,L,280,165,58.9,.253,.347
2021,R,158,5,3.2,.279,1.067
2022,L,464,396,85.3,.391,.297
2022,R,175,19,10.9,.387,.482
