 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,87,88.7,84.9,--,--,--,--,--,--,--,--,6,--,--,--,81,84.5
2021,228,91.3,88.4,--,--,--,--,--,--,--,--,19,--,--,--,209,88.6
2022,348,91.7,86.8,--,--,--,--,--,--,--,--,98,83.8,--,--,250,87.4
