,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2018,BAL,AL,45,191,170,23,40,9,0,4,11,17,37,2,3,2,.235,.312,.359,.671
,2019,BAL,AL,22,74,64,7,6,0,2,0,4,4,14,1,0,3,.094,.181,.156,.337
,2020,BAL,AL,48,153,140,16,38,4,3,3,12,8,37,7,2,1,.271,.315,.407,.722
*,2021,BAL,AL,159,675,602,91,175,37,5,30,59,59,125,30,8,8,.291,.360,.518,.878
,2022,BAL,AL,156,672,608,89,157,32,4,16,64,47,126,34,10,9,.258,.318,.403,.721
,5 Seasons,BAL,AL,430,1765,1584,226,416,82,14,53,150,135,339,74,23,23,.263,.328,.432,.760
