Season,Team,Pos,PA,Depth (ft.),Angle
2016,LAD,5,4857,107,-32
2016,LAD,3,4,115,35
2017,LAD,5,4040,106,-31
2018,LAD,5,3162,108,-28
2019,LAD,4,4,152,-2
2019,LAD,5,4199,110,-26
2020,LAD,5,1054,111,-25
2021,LAD,5,4741,112,-25
2022,LAD,5,2303,114,-25
