Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2015,90,92,86,79,93,61,67,63,57,63,66,59,74,78,33,,
2016,82,78,81,75,72,81,73,78,69,75,65,43,72,80,36,,
2017,96,96,93,89,98,76,68,82,58,66,100,74,88,87,21,82,
2018,94,94,85,67,98,44,57,55,49,44,92,82,97,83,41,39,
2019,90,90,85,76,90,59,50,71,55,75,80,57,88,77,34,87,
2020,95,93,94,89,95,71,75,75,47,75,88,66,77,91,19,77,27
2021,79,75,76,66,81,63,45,79,68,60,80,66,88,83,22,48,18
2022,75,82,69,59,83,60,52,61,47,54,78,66,77,65,8,24,28
