Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,30,26.1,4.67,,40,29,453,33.0
2016,31,26.1,4.58,,46,19,442,35.6
2017,32,25.3,4.68,,60,20,530,21.2
2018,33,26.6,4.62,,36,7,393,41.4
2019,34,26.1,4.56,,37,5,453,33.8
2020,35,25.4,4.76,,43,7,408,18.6
2021,36,25.5,4.78,,59,6,527,22.1
2022,37,25.0,4.87,,71,2,576,7.7
