Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,608,8,1.3,.357,.375
2017,R,534,10,1.9,.401,.314
2018,R,423,9,2.1,.394,.498
2019,R,548,43,7.8,.376,.300
2020,R,174,26,14.9,.365,.417
2021,R,612,65,10.6,.344,.476
2022,R,531,32,6.0,.344,.318
