PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Ryan(L, 10-8)",4.0,3,4,4,4,3,1,4.05
Moran,2.0,1,0,0,1,2,0,1.91
Pagán,1.0,1,0,0,1,1,0,4.89
"Davis, A",1.0,1,3,3,4,1,0,5.79
,8.0,6,7,7,10,7,1,
