BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Hicks, ALF",5,0,1,3,0,1,2,.213,.625
JudgeDH,2,0,0,0,3,2,0,.301,1.090
Torres2B,3,1,0,0,2,0,4,.239,.711
"Cabrera, ORF",4,1,1,0,0,0,4,.192,.491
TrevinoC,4,0,0,0,0,3,4,.255,.691
Gonzalez1B,2,1,0,0,2,0,0,.200,.624
"Guzmán, R1B",0,0,0,0,0,0,0,.000,.000
Kiner-Falefa3B,3,2,1,4,1,0,1,.267,.651
FlorialCF,3,1,2,0,1,0,0,.111,.337
PerazaSS,3,1,1,0,1,1,1,.267,.753
,29,7,6,7,10,7,16,,
