BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
India2B,4,0,0,0,0,1,0,.192,.453
NaquinRF,4,1,2,0,0,1,0,.389,1.172
"Stephenson, TC",3,1,2,2,0,1,1,.294,1.028
Votto1B,4,0,0,0,0,1,2,.143,.423
AquinoLF,4,0,0,0,0,4,1,.077,.154
"Farmer, KSS",3,0,0,0,0,2,0,.316,.777
MoustakasDH,4,0,1,0,0,2,1,.118,.229
Drury3B,4,0,1,0,0,0,1,.333,1.111
FraleyCF,3,1,1,1,0,0,0,.200,.717
,33,3,7,3,0,12,6,,
