BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
StrawCF,5,1,4,0,1,0,0,.360,.884
KwanLF,4,0,0,1,1,1,5,.526,1.392
"Ramírez, Jo3B",4,1,3,3,0,0,2,.480,1.576
"Reyes, FDH",5,0,0,0,0,2,6,.179,.386
"Rosario, ASS",5,0,1,0,0,2,3,.357,.786
"Miller, O1B",5,2,3,2,0,0,1,.524,1.593
Clement2B,3,1,0,0,0,3,2,.364,.897
a-GimenezPH-2B,1,0,0,0,0,0,0,.357,1.071
MercadoRF,5,1,2,1,0,2,1,.200,.880
HedgesC,3,1,0,0,2,0,1,.000,.158
,40,7,13,7,4,10,21,,
