BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,4,0,1,0,0,1,0,.278,.795
"Marte, SRF",4,0,0,0,0,0,1,.279,.769
LindorSS,4,0,0,0,0,1,1,.241,.735
AlonsoDH,2,0,0,0,1,0,0,.280,.919
McNeil2B,3,0,0,0,0,2,2,.323,.837
Guillorme3B,3,0,0,0,0,1,0,.305,.742
"Smith, Do1B",3,0,0,0,0,1,0,.194,.548
InciarteLF,3,0,1,0,0,0,0,.200,.400
NidoC,3,0,0,0,0,1,1,.216,.498
,29,0,2,0,1,7,5,,
