,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,696,640,99,177,25,96,18,.277,.329,.447,.776
7 Seasons,3387,3043,433,775,102,411,58,.255,.321,.417,.738
