PITCHERS - BAL,IP,H,R,ER,BB,SO,HR,ERA
"Watkins(L, 4-4)",6.0,5,2,2,2,5,0,3.96
Baker,0.2,1,1,1,2,2,0,4.10
Akin,0.1,3,2,2,0,0,0,2.86
Head,1.2,3,0,0,2,1,0,6.28
Vespi,0.1,0,0,0,0,0,0,4.15
,9.0,12,5,5,6,8,0,
