BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
PollockLF,6,0,1,1,0,2,5,.236,.641
Vaughn1B,4,1,1,0,1,0,3,.293,.800
Robert Jr.CF,4,1,1,0,1,1,2,.304,.797
"Abreu, JDH",4,0,2,0,0,2,3,.311,.852
SheetsRF,5,0,3,3,0,0,4,.251,.708
EngelRF,0,0,0,0,0,0,0,.234,.617
Moncada3B,5,0,0,0,0,1,6,.192,.572
AndrusSS,4,1,1,0,1,1,2,.235,.662
"Gonzalez, R2B",5,1,2,0,0,0,1,.273,.672
ZavalaC,2,1,1,0,3,1,1,.287,.761
,39,5,12,4,6,8,27,,
