BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,4,0,0,0,0,2,0,.250,.742
SeagerSS,4,0,0,0,0,0,0,.243,.769
"Lowe, N1B",3,0,0,0,0,1,0,.300,.848
"García, AdDH",3,0,0,0,0,2,0,.249,.751
Jung3B,3,1,1,0,0,2,0,.195,.645
HeimC,3,0,1,0,0,1,0,.224,.689
1-TaverasPR,0,0,0,0,0,0,0,.257,.656
HuffC,0,0,0,0,0,0,0,.246,.691
CalhounRF,3,0,0,1,0,1,1,.198,.593
"Smith, JoshLF",2,0,0,0,1,0,1,.196,.549
"Thompson, BCF",3,0,0,0,0,0,1,.267,.617
,28,1,2,1,1,9,3,,
