BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NewmanSS-2B,4,0,1,0,0,3,0,.276,.733
"Allen, GCF",4,0,0,0,0,1,1,.120,.280
Hayes3B,3,0,0,0,1,1,1,.246,.673
Chavis1B,4,0,2,0,0,2,0,.244,.692
GamelDH,3,0,0,0,0,0,2,.233,.685
"Castillo, D2B",3,0,0,0,0,1,3,.201,.613
"a-Cruz, OPH-SS",1,0,0,0,0,1,0,.205,.650
MadrisLF,4,0,0,0,0,2,0,.226,.617
MitchellRF,4,1,1,1,0,1,0,.216,.614
DelayC,3,0,0,0,0,1,0,.286,.762
,33,1,4,1,1,13,7,,
