BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YastrzemskiRF,5,0,0,0,0,4,6,.250,.791
Flores2B,5,0,2,0,0,1,0,.241,.711
Ruf1B,5,1,2,0,0,2,1,.229,.705
PedersonLF,4,1,2,1,0,0,0,.271,.919
Longoria3B,4,2,2,0,1,0,3,.225,.729
EstradaSS,3,1,1,1,0,0,3,.263,.706
La StellaDH,4,0,2,1,0,0,2,.267,.712
SlaterCF,4,1,2,2,0,1,4,.260,.848
CasaliC,2,0,1,1,0,0,0,.237,.713
a-BeltPH,0,0,0,0,1,0,0,.231,.758
WynnsC,1,0,0,0,0,1,2,.267,.746
,37,6,14,6,2,9,21,,
