PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Wood(L, 5-6)",1.0,4,6,6,2,1,1,5.05
Littell,3.0,3,1,1,0,3,1,4.97
"García, J",2.0,2,0,0,1,2,0,1.82
Long,2.0,1,0,0,0,1,0,1.80
,8.0,10,7,7,3,7,2,
