PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
Detmers,6.0,2,0,0,1,7,0,4.22
"Quijada(H, 2)",1.0,2,1,1,1,3,0,2.63
"Tepera(H, 15)",1.0,2,1,1,0,2,0,4.19
"Iglesias, R(L, 2-5)(BS, 3)",0.2,4,3,3,0,1,0,4.50
,8.2,10,5,5,2,13,0,
