BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NootbaarRF,3,2,1,1,1,0,0,.246,.824
DonovanDH,3,2,1,0,0,0,0,.299,.789
Goldschmidt1B,4,0,1,0,0,1,2,.338,1.050
Arenado3B,4,0,1,1,0,1,2,.306,.937
DickersonLF,2,0,0,0,0,0,0,.274,.722
a-PujolsPH,1,0,0,0,0,0,2,.273,.865
O'NeillLF,1,1,1,3,0,0,0,.230,.677
CarlsonCF,3,0,0,0,1,3,0,.243,.710
Gorman2B,2,0,0,0,0,2,1,.237,.746
b-DeJongPH-SS,0,0,0,0,1,0,0,.165,.589
MolinaC,3,0,0,0,0,0,1,.203,.482
EdmanSS-2B,3,1,1,1,0,1,0,.253,.693
,29,6,6,6,3,8,8,,
