,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,667,583,84,141,36,94,2,.242,.327,.477,.804
8 Seasons,2057,1819,269,450,88,256,12,.247,.328,.451,.779
