Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2018,,,,,,,,,95,,,,,,77,,
2019,82,59,85,87,76,89,90,83,85,94,23,77,19,80,58,98,
2020,62,70,65,56,53,55,38,77,75,89,60,34,43,34,51,58,7
2021,28,42,26,26,41,26,29,38,79,49,32,43,32,47,59,85,3
2022,92,66,92,92,83,94,82,69,86,72,58,76,50,82,32,99,7
