BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,4,1,1,0,0,3,1,.279,.883
BrantleyDH,4,0,1,1,0,0,1,.290,.791
Bregman3B,3,0,0,0,1,0,1,.222,.716
"Alvarez, YLF",4,0,2,1,0,0,1,.315,1.028
TuckerRF,3,0,1,0,1,0,1,.260,.834
Gurriel1B,4,0,0,0,0,1,4,.217,.619
PeñaSS,3,1,1,0,1,0,0,.277,.804
DubónCF,4,1,1,1,0,1,2,.218,.571
MaldonadoC,3,0,0,0,0,0,3,.150,.492
a-DíazPH,1,0,0,0,0,0,0,.222,.585
,33,3,7,3,3,5,14,,
