PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Thompson, K",3.2,6,5,5,3,3,3,3.97
"Castro, K",1.2,1,2,2,1,1,0,12.27
"Brault(BS, 1)",0.2,1,0,0,0,0,0,0.00
"Rucker(W, 2-1)",1.0,0,0,0,0,0,0,4.46
"Leiter Jr.(H, 1)",1.0,0,0,0,0,3,0,4.33
"Hughes(S, 2)",1.0,1,0,0,0,0,0,2.95
,9.0,9,7,7,4,7,3,
