PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
Ashby,5.0,8,6,6,0,8,1,4.58
"Milner(L, 3-2)(BS, 1)",1.0,2,2,2,0,2,1,3.64
Strzelecki,1.0,0,0,0,1,2,0,2.51
Boxberger,1.0,0,0,0,0,2,0,2.38
,8.0,10,8,8,1,14,2,
