BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Kelly, CC",4,0,0,0,0,0,1,.216,.640
"Marte, K2B",3,0,2,0,1,1,0,.245,.736
McCarthyRF,4,0,1,0,0,2,2,.304,.844
"Walker, C1B",4,0,0,0,0,0,4,.237,.810
Rivera3B,3,0,0,0,0,0,2,.236,.714
"Garrett, SDH",2,0,1,0,1,1,2,.410,1.196
LuplowLF,3,0,0,0,0,0,2,.160,.627
"Thomas, ACF",3,0,0,0,0,0,0,.244,.653
PerdomoSS,2,0,1,0,0,0,0,.195,.554
a-VarshoPH,1,0,0,0,0,1,0,.241,.765
"Alcántara, SeSS",0,0,0,0,0,0,0,.217,.603
,29,0,5,0,2,5,13,,
