Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2017,,20.5,1,0.5,1,0,1,0,0.0
2018,,20.2,1,1.4,0,3,1,0,0.0
2019,,22.4,12,9.3,3,7,10,2,16.7
2020,,23.0,6,5.0,1,2,2,4,66.7
2021,,26.7,14,16.6,-3,9,16,5,35.7
2022,,28.1,11,16.6,-6,13,18,3,27.3
Player,,25.1,45,49.5,-5,34,48,14,31.1
