Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,432",57.5,343,308,108,74,26,0,8,30,279,.351,.312,.513,.481,.403,.375,90.7,9,10.5,8.8
2022,Breaking,627,25.2,173,166,34,26,5,0,3,33,136,.205,.257,.289,.406,.221,.291,88.8,9,20.6,15.6
2022,Offspeed,431,17.3,126,119,24,15,8,1,0,23,98,.202,.218,.286,.323,.225,.255,84.9,4,23.1,19.2
2021,Fastballs,"1,396",59.5,331,294,99,74,18,2,5,52,245,.337,.285,.463,.421,.375,.340,90.8,11,15.4,16.1
2021,Breaking,517,22.0,130,119,31,20,7,0,4,27,93,.261,.271,.420,.465,.317,.339,90.2,7,23.7,15.0
2021,Offspeed,433,18.5,137,131,27,16,7,0,4,17,115,.206,.301,.351,.486,.250,.348,87.6,2,18.0,14.8
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
