,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,644,593,75,166,11,74,1,.280,.328,.405,.733
6 Seasons,1957,1781,254,510,44,201,15,.286,.341,.431,.772
