Season,Team,Pos,PA,Depth (ft.),Angle
2017,LAD,7,39,288,-26
2017,LAD,9,17,290,27
2017,LAD,8,108,320,2
2018,LAD,7,187,296,-25
2018,LAD,8,151,313,-1
2018,LAD,9,247,288,26
2019,LAD,8,1914,314,-1
2019,LAD,7,544,293,-26
2019,LAD,9,617,289,25
2020,BOS,8,36,322,1
2020,BOS,7,792,290,-26
2020,BOS,9,1102,292,27
2021,BOS,7,2915,300,-25
2021,BOS,8,1457,319,1
2021,BOS,9,715,295,26
2022,BOS,9,1851,290,28
2022,BOS,7,3693,299,-28
