PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Rodón(L, 4-2)",3.2,10,8,8,1,3,1,3.49
Littell,1.1,3,3,3,1,0,2,5.54
"Marte, Y",1.2,3,4,2,4,0,0,7.71
"Gonzalez, L",1.1,1,0,0,0,0,0,0.00
,8.0,17,15,13,6,3,3,
