PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Snell(L, 5-7)",3.1,8,6,6,0,4,3,4.14
"Wilson, S",2.2,1,0,0,1,0,0,3.15
"Castillo, J",1.0,1,1,1,1,1,0,9.00
Hader,1.0,2,0,0,0,3,0,5.17
Crismatt,1.0,1,0,0,0,1,0,2.72
,9.0,13,7,7,2,9,3,
