BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,4,0,0,0,1,2,4,.297,.900
SwansonSS,4,1,1,1,1,2,2,.291,.827
Riley3B,4,1,0,0,0,0,2,.252,.834
Olson1B,5,1,1,0,0,1,3,.249,.798
d'ArnaudC,5,3,3,3,0,1,0,.262,.775
OzunaDH,4,1,2,1,1,0,0,.232,.694
DuvallLF,4,0,1,0,1,2,2,.210,.640
Arcia2B,4,2,2,2,0,0,3,.327,.912
"Harris II, MCF",5,1,3,2,0,0,3,.317,.878
,39,10,13,9,4,8,19,,
