PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Tetreault(L, 0-1)",4.0,9,7,7,1,2,3,15.75
"Machado, A",2.0,2,2,2,1,4,2,5.91
"Garrett, R",2.0,1,0,0,1,1,0,0.00
"Perez, F",1.0,1,1,1,1,1,0,5.68
,9.0,13,10,10,4,8,5,
