PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Burnes(W, 10-6)",8.0,3,1,1,0,14,0,2.93
"Williams, D(S, 11)",1.0,0,0,0,0,0,0,1.69
,9.0,3,1,1,0,14,0,
