BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Brosseau3B,1,0,0,0,0,0,0,.256,.751
a-PetersonPH-3B,3,1,1,0,0,1,0,.260,.758
AdamesSS,3,0,0,0,0,0,1,.228,.735
YelichDH,3,1,1,1,0,2,0,.260,.754
RenfroeRF,3,0,1,1,0,0,0,.255,.820
McCutchenLF,2,0,0,0,1,1,0,.246,.707
MitchellCF,0,0,0,0,0,0,0,.136,.513
Tellez1B,2,0,0,0,1,0,2,.225,.777
"Urías, L2B",3,0,0,0,0,0,1,.221,.710
"Taylor, TCF-LF",3,0,0,0,0,1,0,.222,.700
NarváezC,3,0,0,0,0,1,0,.218,.640
,26,2,3,2,2,6,4,,
