PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
Alexander,1.0,0,0,0,0,1,0,1.42
"Junis(L, 4-5)",6.0,3,2,2,2,4,0,3.98
"Rogers, Ty",1.0,0,0,0,0,1,0,4.33
,8.0,3,2,2,2,6,0,
