PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Anderson(W, 13-1)",7.0,2,0,0,1,3,0,2.72
"Phillips, E",1.0,0,0,0,0,1,0,1.43
Kimbrel,1.0,0,0,0,1,0,0,4.15
,9.0,2,0,0,2,4,0,
