 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2019,,623,18.4,14.0%,2.9%,349,24.4,0.3%,14.3%
2020,,261,18.3,15.3%,4.2%,142,24.4,0.7%,11.3%
2021,,634,20.0,7.6%,3.9%,452,25.8,0.0%,22.6%
2022,,613,19.3,8.5%,3.9%,358,25.0,0.8%,16.2%
